biblionumber;document_type;title;subtitle;authors;isbn;ean;date;publisher;pages;abstract;cover_url;holdings;opac_suppressed;list_no;list;list_sort
2790;LIVRE;"Les sciences de l'information et de la communication";;"Alex Mucchielli,...";"2-01-145714-9 | 978-2-01-145714-1";9782011457141;2006;"Hachette supérieur";"1 volume (160 pages)";;;"[{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""302.2 MUC""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""020 MUC""}]";0;11;"fonds pro";title
2880;LIVRE;"Les petites bibliothèques publiques";;"Bertrand Calenge";"2-7654-0916-1 | 978-2-7654-0916-8";9782765409168;2006;"Éditions du Cercle de la librairie";"1 volume (272 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""027.4 CAL""}]";0;11;"fonds pro";title
4261;LIVRE;"Les bibliothèques publiques en Europe";;"sous la direction de Martine Poulain";2-7654-0494-1;9782765404941;1992;"Éd. du Cercle de la librairie";"1 volume (367 pages)";"En 1993, les pays de la Communauté européenne formeront «un espace sans frontières». A cette nouvelle étape, les bibliothèques doivent, elles aussi, se préparer Qui dit Europe des bibliothèques devrait dire, plus et mieux, connaissance mutuelle sans laquelle il ne peut exister ni objectifs communs, ni politique commune. Pour échanger et partager, encore faudrait-il ne pas ignorer l'histoire, les structures, les modes de fonctionnement, les atouts, les lacunes, les acquis ou les tentatives des réseaux de bibliothèques publiques dans chacun des pays qui forment cette Communauté. Comment sont organisées ces bibliothèques publiques ? Quels documents, quels services offrent-elles ? Quelles structures les régissent ? Quels publics les fréquentent ? Quels personnels les animent ? Quelles sont leurs missions ? Où en est leur développement ? Tous les domaines qui concernent l'activité des bibliothèques sont ici étudiés. Ainsi les réflexions sur l'avenir des bibliothèques européennes pourront-elles être nourries d'un ensemble de connaissances où les singularités de l'histoire de chacune seront mieux perçues.";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""027.4 POU""}]";0;11;"fonds pro";title
4713;LIVRE;"Histoire de l'édition française";;"sous la direction de Roger Chartier et Henri-Jean Martin";"978-2-213-02399-1 | 2-213-02399-9";9782213023991;1989;"Fayard | Cercle de la Librairie";"1 volume (793 pages-[12] pages de planches)";"Bien plus que dresser la bibliothèque d'un temps et d'un lieu, le premier volume de cette Histoire de l'édition française cherche à mettre en évidence les principales transformations d'une marchandise qui ne ressemble pas tout à fait aux autres, le livre, et l'histoire de ceux qui en furent les artisans, les commerçants ou les lecteurs. Une histoire qui commence bien avant Gutenberg, quand les copies des manuscrits sont mises en circulation. Comment un auteur éditait-il alors son oeuvre? Comment fabriquait-on un manuscrit? Au fil des siècles, les procédés évoluent, mais c'est surtout l'instauration de la séparation des mots qui bouleverse les habitudes intellectuelles puisqu'elle permet la lecture silencieuse, une lecture plus rapide donc, qui engendre une demande accrue de manuscrits. L'apparition de l'imprimerie engendre à son tour une véritable révolution culturelle, transformant le livre en instrument de communication, en instrument de propagande aussi. Marchands imprimeurs, imprimeurs libraires et tous ceux qui travaillent aux métiers du livre s'efforcent alors de conquérir des lecteurs nombreux. Typographie, mise en page, illustration, reliure: ces techniques, nouvelles ou renouvelées, modifient profondément la présentation des textes. En moins d'un siècle et demi, le temps de l'humanisme et du classicisme, le livre devient un objet plus familier, plus lisible, plus maniable. Longtemps le livre reste l'apanage des seules élites, mais déjà apparaissent, dans les villes du moins, les premiers signes d'une ""lecture populaire"".";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.509 CHA""},{""library"": ""GEORGEV"", ""location"": ""SL"", ""callnumber"": ""070.5 HIS""}]";0;11;"fonds pro";title
6309;LIVRE;"Lectures et lecteurs dans la France d'Ancien régime";;"Roger Chartier";"2-02-009444-4 | 978-2-02-009444-3";9782020094443;1987;"Éditions du Seuil";"1 volume (369 pages)";;;"[{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""944.03/306.4 CHA""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""028 CHA""}]";0;11;"fonds pro";title
19530;LIVRE;"Assistant de conservation, assistant de conservation principal de 2e classe du patrimoine et des bibliothèques 2023";"concours externe, interne et 3e concours, catégorie B";"[coordination éditoriale, Direction des concours CIG de la petite couronne]";978-2-11-157573-8;9782111575738;2022;"La Documentation française";"1 vol. (284 p.)";"""Rédigée par les concepteurs des sujets et les organisateurs des épreuves, la collection des « Annales corrigées » vous permet de vous entraîner dans les conditions réelles des concours et examens de la fonction publique territoriale. Ce volume propose, pour chacune des épreuves, un cadrage élaboré par les organisateurs, les sujets des sessions précédentes, des indications de correction et de vraies copies de candidats commentées par les correcteurs. En fin d'ouvrage, les rapports des présidents de jurys font le point sur le niveau des candidats et donnent la mesure des attentes de ceux qui vont vous évaluer. Ce manuel vous accompagne tout au long de votre préparation pour connaître parfaitement le cadre d'emplois que vous souhaitez intégrer et la voie d'accès qui vous correspond, tirer parti des informations officielles et des conseils pratiques, bien comprendre les étapes à respecter et ne rien laisser au hasard. Abordez les épreuves de manière sereine, les clés de votre réussite sont dans cet ouvrage.""";;"[{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""020.7 ASS""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""020.76 ASS""}]";0;11;"fonds pro";title
20792;LIVRE;"Mener un projet international";"bibliothèques françaises et coopération internationale";"sous la direction de Raphaëlle Bats";978-2-9102-2792-0;9782910227920;2011;"Presses de l'Enssib";"1 vol. (184 p.)";"Internet, construction européenne, mondialisation… : notre horizon ne s'arrête plus à nos frontières. Du jumelage à la coopération décentralisée, les municipalités demandent à leurs services de participer à des projets à dimension internationale. Processus de Bologne, formation tout au long de la vie, internationalisation des études, les universités font elles aussi appel à leurs services pour les accompagner dans ces évolutions. C'est dans ce contexte que s'inscrit ce volume, avec l'ambition de fournir à tous les professionnels des bibliothèques des clés de compréhension de ces nouveaux enjeux ainsi que des exemples concrets d'actions de coopération soutenus par des apports méthodologiques. Comment travailler et partager avec des partenaires étrangers ? Quelles sont les étapes fondamentales d'une coopération : de la convention à l'évaluation ? Qui sont nos relais en France et à l'étranger pour de tels projets ? C'est à travers ces questions que s'organise l'ouvrage, en proposant des éléments de préparation pratiques pour mener ces actions internationales et les pérenniser. Coordonné par Raphaëlle Bats, conservateur chargée des relations internationales à l'enssib, et écrit par différents acteurs du terrain, l'ouvrage traite également de la mobilité des professionnels et des voyages d'étude, du bibliothécaire-formateur ou expert, d'action culturelle et de politique documentaire (du don des documents à l'avenir du patrimoine en Europe en passant par la lecture pour les enfants)";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""021.6 MEN""}]";0;11;"fonds pro";title
21075;LIVRE;"Archives ouvertes et publication scientifique";"comment mettre en place l'accès libre aux résultats de la recherche ?";"Thierry Chanier";2-7475-7695-7;9782747576956;2004;L'Harmattan;"1 volume (186 pages)";;;"[{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""001 CHA""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.579 CHA""}]";0;11;"fonds pro";title
36890;LIVRE;"Le professeur documentaliste";"le nouveau défi de l'enseignement scolaire à l'ère du numérique";"Françoise Leblond, Charles Moracchini, Brigitte Pierrat";978-2-7013-1781-6;9782701317816;2012;Berger-Levrault;"1 vol. (212 p.)";;;"[{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""023 LEB""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""023 LEB""}]";0;11;"fonds pro";title
37608;LIVRE;"Le livre en révolutions";"entretiens avec Jean Lebrun";"Roger Chartier";2-909317-34-X;9782909317342;1997;Textuel;"1 volume (159 pages)";;;"[{""library"": ""GEORGEV"", ""location"": ""SL"", ""callnumber"": ""002 CHA""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.509 CHA""},{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""002 CHA""},{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""070.5 CHA""}]";0;11;"fonds pro";title
37738;LIVRE;"Se former à l'accueil";"éthique et pratique";"sous la direction de Marielle de Miribel";978-2-7654-1364-6;9782765413646;2012;"Éditions du Cercle de la librairie";"1 vol. (350 p.)";"Avant. Pendant. Après. Ce rythme à trois temps scande cet ouvrage collectif qui propose des réponses concrètes aux interrogations qui ne manquent jamais de survenir lors de formations à l'accueil. Former, c'est faire faire, plus que faire. La pratique, les techniques n'ont de sens qu'assises sur une réflexion éthique qui les fondent en humanité. Car à tout prendre, pourquoi former ? C'est presque toujours d'un déséquilibre, d'une crise que naît la nécessité de mettre en place une formation. Il y a un avant de la formation : le temps de la constatation d'un changement nécessaire, de l'examen, d'une prise de conscience que l'accueil pourrait être meilleur. Meilleur en soi ? Par rapport à quoi ? Pour qui ? Comment faire ? La première partie de ce volume examine la mise en place de l'objectif de la formation. Il y a aussi un pendant. Le moment le plus fragile sans doute, parce qu'il met en présence des subjectivités, des personnalités. Et dans ce domaine, rien n'est jamais simple. Les commanditaires, les formateurs, les prescripteurs, les stagiaires investissent, chacun, leur être, leurs faiblesses, leurs savoirs, leurs ignorances, leurs ambitions, leurs limites. Tout cela est fragile et forme un milieu propice aux tempêtes. Il y a aussi un après. Le temps de l'évaluation, du retour au travail, nanti du savoir et de la pensée créés lors de la formation proprement dite. L'évaluation, procédure indispensable après la formation, et qui doit prendre de multiples formes. Toute formation à l'accueil ne peut être satisfaisante que si toute la chaîne des intervenants est parcourue par des considérations déontologiques et éthiques. Cet ouvrage, qui fait suite à celui précédemment paru, chez le même éditeur, sous le titre : Accueillir les publics : comprendre et agir, permet à toutes les personnes concernées de près ou de loin de mieux comprendre les enjeux d'une formation à l'accueil, à la fois pour la bibliothèque, pour eux-mêmes et pour les lecteurs.";;"[{""library"": ""MEDP"", ""location"": ""BUR"", ""callnumber"": ""Z 665 SEF""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.5 SEF""},{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""025.5 SEF""}]";0;11;"fonds pro";title
38299;LIVRE;"Développer la médiation documentaire numérique";;"sous la direction de Xavier Galaup";978-2-910227-99-9;9782910227999;2012;"Presses de l'Enssib";"1 volume (228 pages)";"Depuis quelques années, les bibliothèques investissent fortement l'Internet : catalogues en ligne, sites Web devenant peu à peu des portails de services, blogs et réseaux sociaux. Si l'objectif est bien d'être présent dans l'univers numérique des usagers existants ou potentiels, les bibliothèques, aussi bien universitaires que de lecture publique, doivent garder leur spécificité sous peine d'être noyées dans le flot général. L'un des axes de travail pour ce faire est de transposer en ligne la médiation documentaire, c'est-à-dire repenser pour l'Internet tous les moyens à mettre en oeuvre pour favoriser la rencontre d'un lecteur avec les documents susceptibles de l'intéresser ou de lui ouvrir de nouveaux horizons. L'ouvrage traite de ce nouvel enjeu en proposant d'une part, un cadre général sur la médiation documentaire numérique (quelle politique documentaire favoriser ? Comment scénariser son catalogue, médiatiser un fonds patrimonial ou de jeux vidéo ? Comment définir son projet et accompagner les équipes ?) et d'autre part, des exemples concrets destinés à servir d'inspiration pour améliorer ou se lancer dans ce continent en pleine construction (quels contenus produire ? Quels outils utiliser ? Comment rédiger un billet de blog, un article de magazine en ligne, des coups de coeurs 2.0 ?).";;"[{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""025 GAL""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 DEV""},{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""025.04 DEV""}]";0;11;"fonds pro";title
38372;LIVRE;"Faire connaître et valoriser sa bibliothèque";"communiquer avec les publics";"sous la direction de Jean-Marc Vidal";979-10-91281-02-7;9791091281027;2012;"Presses de l'ENSSIB";"1 vol. (180 p.)";"Comment faire connaître sa bibliothèque, rendre lisible son offre, valoriser ses évolutions ? Quels outils utiliser ? Quelles compétences intégrer ? Quelle organisation mettre en place ? Ces questions s'imposent aujourd'hui aux professionnels qui doivent améliorer la notoriété de leurs établissements et faire évoluer leur image. Dans ce livre, la relation avec les publics est placée au cœur du processus de communication, tant pour le contact en direct, les échanges en ligne, que pour le soin apporté aux espaces, à la signalétique, et à la conception de documents. Construire un plan de communication, mener une campagne d’affichage, réinventer un guide du lecteur, reformuler le règlement intérieur, créer un avatar ou partir à la conquête d’un public spécifique sont autant d'actions qui demandent à la fois de bâtir une stratégie d’ensemble et de maîtriser des savoirs pratiques et concrets. Pour chacune des réalisations évoquées, un mode opératoire précis indique la méthode et les étapes à prendre en compte. Coordonné par Jean-Marc Vidal, conservateur à la bibliothèque municipale de Grenoble, cet ouvrage collectif, qui réunit bibliothécaires, graphiste, responsable de communication, sociologue, rend compte d'expériences multiples menées dans des bibliothèques publiques et universitaires. La communication avec les publics apparaît ainsi comme l'un des éléments révélateurs des transformations des bibliothèques.";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.5 FAI""},{""library"": ""GEORGEV"", ""location"": ""SL"", ""callnumber"": ""027 VID""}]";0;11;"fonds pro";title
38472;LIVRE;"Bibliothèques 2.0 à l'heure des médias sociaux";;"sous la direction de Muriel Amar et Véronique Mesguich";978-2-7654-1340-0;9782765413400;2012;"Éditions du Cercle de la librairie";"1 volume (217 pages)";"""La deuxième édition de cet ouvrage collectif analyse l’impact du web social sur les structures documentaires, 7 ans après l’apparition des technologies 2.0. La première partie dresse un état des lieux de la reconfiguration des pratiques (sur le plan sociologique et juridique) et du repositionnement des principaux acteurs (Google, Facebook, Wikipedia). Dans la deuxième partie, des regards d’usagers et de bibliothécaires se croisent au travers d’exemples comme l’ouverture d’un compte Facebook à la Bibliothèque nationale d’ Espagne, la présence d’un fonds de la bibliothèque municipale de Toulouse sur Flickr, les apports de Twitter, l’indexation collaborative, ou les catalogues nouvelle génération. Enfin, la troisième partie balaye la perspective des nouveaux territoires de l’information, abordant le renouveau des échanges scientifiques, les enjeux de l’utilisation des médias sociaux dans l’enseignement, le rôle du numérique dans l’espace urbain et son impact sur le lien social, les archives participatives.""";;"[{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""025 AMA""},{""library"": ""MEDP"", ""location"": ""BUR"", ""callnumber"": ""Z 665 BIB""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 BIB""}]";0;11;"fonds pro";title
40642;LIVRE;"Net recherche 2013";"surveiller le web et trouver l'information utile";"Véronique Mesguich, Armelle Thomas";978-2-8041-8228-1;9782804182281;2013;"De Boeck | ADBS";"1 vol. (263 p.)";"La 4e de couv. indique : ""Qu'elle réponde à des besoins professionnels ou personnels, la recherche d'information représente une grande part de l'activité des internautes. Pourtant, le fonctionnement des moteurs de recherche est encore mal connu des utilisateurs, souvent perdus face à des résultats nombreux et imprécis, à des contenus structurés ou non, validés ou non, gratuits ou payants... Cet ouvrage offre un panorama des outils et méthodes existant à ce jour : des conseils, des «trucs et astuces» pour optimiser le processus de recherche ; des informations précises sur les évolutions actuelles ; des présentations d'outils et des listes d'adresses utiles. Nouvelle édition entièrement remaniée, complétée et mise à jour, incluant des méthodes de recherche dans le web social, l'open data, le web temps réel...""";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 MES""}]";0;11;"fonds pro";title
42454;LIVRE;"Introduction aux humanités numériques";"méthodes et pratiques | sciences humaines et sociales";"Seth van Hooland, Florence Gillet, Simon Hengchen... [et autres]";978-2-8073-0215-0;9782807302150;2016;"De Boeck supérieur";"1 volume (207 pages)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 INT""}]";0;11;"fonds pro";title
43050;LIVRE;"La blogosphère info-doc";"une communauté de savoir, une mosaïque de médiations | étude des dynamiques sociales, socio-thématiques et discursives d'un réseau de blogueurs experts";"Bérengère Stassin";978-2-36493-563-1;9782364935631;2016;"Cépaduès-Éditions";"1 vol. (410 p.)";"La 4e de couverture indique : ""Cet ouvrage interroge les nouvelles formes de médiation des savoirs et de l'information qui émergent au sein du Web. L'étude qui est menée porte sur le terrain des blogs et plus particulièrement sur la blogosphère info-doc française et non institutionnelle, c'est-à-dire sur un réseau formé par des blogs dont les auteurs sont des archivistes, des bibliothécaires, des documentalistes, des éditeurs ou encore des chercheurs en sciences de l'information, mais qui bloguent dans des positions totalement détachées des institutions où ils exercent. L'analyse des dynamiques sociales, socio-thématiques et discursives de ce réseau d'experts montre qu'il peut être considéré comme une communauté de savoir dont les membres partagent des connaissances en lien avec l'information-documentation. Ce partage passe par un processus de réification qui consiste à produire des documents de différentes natures et aux fonctions diverses et qui aboutit donc à la construction d'une ""mosaïque de médiations documentaires"". A travers leurs productions, les blogueurs construisent également leur identité numérique, asseyent leur présence en ligne et assurent la promotion de leur expertise. Cela engendre alors une autre forme de médiation : une ""médiation identitaire"".""";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""020 STA""},{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""021.6 STA""}]";0;11;"fonds pro";title
47052;LIVRE;"Les collections scientifiques des universités";"actes des 2e journées Cuénot, 21-22 septembre 2006, Nancy";"sous la direction de Pierre-Antoine Gérard";978-2-86480-779-7;9782864807797;2008;"Presses universitaires de Nancy";"1 vol. (240 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.2 JOU""}]";0;11;"fonds pro";title
49591;LIVRE;"La bibliothèque, la nuit";;"Alberto Manguel";"2-7427-6316-3 | 2-7609-2614-1";9782742763160;2006;"Actes Sud | Leméac";"1 vol. (335 p.)";"Qu'elle soit constituée de quelques livres ou de volumes par milliers, qu'elle obéisse à une classification rigoureuse ou aléatoire, que les livres qui la composent soient alignés sur des étagères ou rangés dans des cartons, qu'est-ce qu'une bibliothèque, sinon l'éternelle compagne de tout lecteur ? Alberto Manguel offre un essai d'où il ressort que construire une bibliothèque, privée ou publique, n'est rien de moins qu'une mise à l'épreuve d'ordre philosophique dont l'avènement annoncé de la bibliothèque électronique ne saurait réduire la portée.";;"[{""library"": ""LASH"", ""location"": ""SL2"", ""callnumber"": ""868.993 2 MAN""},{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""025 MAN""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025 MAN""}]";0;11;"fonds pro";title
50284;LIVRE;"Trésors d'archives";"mille ans d'histoire";"[catalogue rédigé par Jean-Bernard Lacroix]";2-86006-009-X;9782860060097;2005;"Conseil général des Alpes-Maritimes | mpr. Imprimix";"1 vol. (328 p.)";;;"[{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""FL 944 ARC""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.509 TRE""},{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""944.94 TRE""},{""library"": ""DROIT"", ""location"": ""SA1"", ""callnumber"": ""944.94 TRE""}]";0;11;"fonds pro";title
