biblionumber;document_type;title;subtitle;authors;isbn;ean;date;publisher;pages;abstract;cover_url;holdings;opac_suppressed;list_no;list;list_sort
272037;LIVRE;"Le métier de bibliothécaire";;"Association des bibliothécaires de France";978-2-7654-0977-9;9782765409779;2010;"Éditions du Cercle de la librairie";"1 volume (565 pages)";;;"[{""library"": ""SJA"", ""location"": ""BUR"", ""callnumber"": ""020 MET""},{""library"": ""GEORGEV"", ""location"": ""SL"", ""callnumber"": ""020 ASS""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""020.23 ASS""},{""library"": ""MEDP"", ""location"": ""BUR"", ""callnumber"": ""Z 665 MET""},{""library"": ""BIUTF"", ""location"": ""MAG"", ""callnumber"": ""020 MET""}]";0;11;"fonds pro";title
272240;LIVRE;"Enjeux et perspectives de l'édition électronique";;"[publié par l'] Université Michel de Montaigne-Bordeaux, AMERIBER (GRIAL)";978-2-86781-669-7;9782867816697;2010;"Presses universitaires de Bordeaux";"1 volume (77 pages)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.579 ENJ""}]";0;11;"fonds pro";title
272380;LIVRE;"La reliure";"comme un professionnel";"Henriette Rigaut";2-215-01173-4;9782215011736;1989;"Ed. Fleurus";"1 volume (121 pages)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.7 RIG""}]";0;11;"fonds pro";title
273550;LIVRE;"Horizon 2019";"bibliothèques en prospective | colloque";"Dominique Arot, Anne-Marie Bertrand, Robert Damien, François Gèse, Bertrand Legendre, Pascal Ory, Georges Perrin, François Rouet, Valérie Tesnière";978-2-910227-87-6;9782910227876;2011;"Presses de l’enssib";"1 volume (111 pages)";"Que seront les bibliothèques en 2019 ? Dans quel contexte évolueront-elles ? Quelles missions leur seront confiées ? Quelle légitimité sera la leur ? Voilà quelques-unes des questions évoquées dans le colloque « Horizon 2019 : bibliothèques en prospective », tenu à l'enssib en 2009. Voici, dans cet ouvrage, quelques-unes des réponses, hypothèses, conjectures, interrogations et suppositions apportées par les intervenants de ce colloque. Interrogations, analyses qui cherchent à éclairer l'horizon, à défaut de le rejoindre. Hypothèses, scénarios qui cherchent à déchiffrer l'avenir mais aussi à le construire.";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""027.4 HOR""},{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""021 ARO""}]";0;11;"fonds pro";title
273612;LIVRE;"Rolex learning center";;"Francesco Della Casa et Eugène";978-2-88074-861-6;9782880748616;2010;"Presses polytechniques et universitaires romandes = EPFL press";"1 vol. (221 p. dont 9 dépl.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""022 DEL""}]";0;11;"fonds pro";title
275518;LIVRE;"Les bibliothèques et la transition numérique";"les ateliers internet, entre injonctions sociales et constructions individuelles";"sous la direction de Pascal Plantard et Agnès Vigué-Camus";978-2-37546-010-8;9782375460108;2017;"Presses de l'enssib";"1 volume (208 pages)";"""Il est presque impossible aujourd'hui de trouver du travail, de s'inscrire à l'Université, ou de faire des démarches administratives sans disposer d'une adresse électronique ou faire usage des réseaux sociaux et des moteurs de recherche sur le Web. Les bibliothèques se sont rapidement positionnées pour accompagner ce tournant numérique en ouvrant des ateliers d'initiation à l'informatique, à l'Internet puis au numérique. Dans cet ouvrage, un collectif de chercheurs (sciences de l'éducation, sciences politiques, sociologie, anthropologie, etc.) et de bibliothécaires (lecture publique notamment) revient sur l'expérience des 'ateliers internet' et analyse l'apport spécifique des bibliothèques en France et à l'étranger dans la construction d'une culture numérique. Au-delà du thème de la fracture numérique, qui imposerait une ligne de partage entre les citoyens connectés et les autres, ces auteurs indiquent que les lignes de rupture sont plurielles ; les usagers qui prennent le chemin des 'ateliers internet' cherchent tout à la fois à faire face aux injonctions sociales de la société de l'information, à acquérir des savoir-faire qu'ils considèrent comme nécessaires mais aussi à se ressaisir comme individu compétent, intégré, reconnu. Ces ateliers en bibliothèque constituent des tiers-lieux essentiels, au cœur de la cité, où peut s'opérer une transition numérique entre des façons d'apprendre, de communiquer, de travailler, de se lier à l'autre et de faire société."" [Source : 4e de couv.]";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.5 BIB""}]";0;11;"fonds pro";title
275586;LIVRE;"Des sources ouvertes au web de données";;"rédacteurs invités : Khaled Khelif, Laurie Serrano, Fatiha Saïs,... [et al.]";978-2-7056-8842-4;9782705688424;2014;Hermann;"1 volume (91 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 SOU""}]";0;11;"fonds pro";title
275983;LIVRE;"Bibliothèques universitaires";"nouveaux horizons";"sous la direction de François Cavalier et Martine Poulain";978-2-7654-1469-8;9782765414698;2015;"Éditions du Cercle de la librairie";"1 vol. (311 p.)";"Les bibliothèques universitaires ont connu des évolutions majeures au cours de ces vingt dernières années. Leur développement a été sensible, leur environnement technologique et institutionnel s'est radicalement transformé et les universités, longtemps pilotées par l'État, progressent douloureusement sur le chemin d'une autonomie renégociée au sein de grands regroupements, porteurs d'autant de problèmes et de défis que d'opportunités. Adaptant leur politique documentaire, associant plus que jamais imprimé et numérique, travaillant toujours plus en réseaux, les bibliothèques veillent à conserver les matériaux de la recherche et leurs archives jusqu'aux données elles-mêmes, aident à concevoir des supports numériques de la pédagogie, explorent de nouveaux domaines comme la publication scientifique en ligne. Dynamiques mais déstabilisées par ces changements, les bibliothèques universitaires doivent définir un nouveau pacte avec leurs utilisateurs et forger les compétences nécessaires à leurs nouvelles activités. Entre sur-fréquentation (présence massive des étudiants), transformation des usages (baisse des prêts, attente de services plus que de collections) et éloignement des chercheurs et enseignants, la bibliothèque universitaire se réinvente continûment dans un effort de marketing de ses services et de renouvellement de son offre, repensée en relation étroite avec de multiples partenaires.";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""027.7 BIB""}]";0;11;"fonds pro";title
277591;LIVRE;"Big data";"nouvelles partitions de l'information | actes du séminaire IST Inria, octobre 2014";"ouvrage coordonné par Lisette Calderan, Pascale Laurent, Hélène Lowinger... [et al.]";978-2-8041-8915-0;9782804189150;2015;"De Boeck | ADBS";"1 vol. (152 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 BIG""}]";0;11;"fonds pro";title
278444;LIVRE;"100 fiches pour organiser sa veille sur Internet";;"Xavier Delengaigne";978-2-212-67723-2;9782212677232;2019;"Éditions Eyrolles";"1 volume (xiii-338 pages)";"""Rechercher sur Internet est désormais une des activités les plus communes, que ce soit dans notre vie professionnelle ou personnelle. Tout le monde pense, à tort, savoir chercher sur Internet : pour beaucoup, lancer une requête sur Google suffit amplement. Or la veille va plus loin qu'une simple recherche sur Internet. Elle consiste à collecter, analyser, trier, partager et enfin diffuser l'information. Internet constitue souvent le premier champ d'actions de la veille. Des outils existent pour automatiser ses recherches. Ce livre pratique se propose de faire découvrir (ou approfondir) le concept de veille au travers d'outils (libres ou non) présents gratuitement sur le Web, et de techniques pour gagner en efficacité face au trop-plein d'informations auquel nous sommes confrontés quotidiennement. Une nouvelle édition mise à jour pour tenir compte des derniers outils apparus. Elle propose 100 fiches claires et détaillées.""";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 DEL""},{""library"": ""SJA"", ""location"": ""ST"", ""callnumber"": ""004 DEL""}]";0;11;"fonds pro";title
278764;LIVRE;"Le métier de bibliothécaire";;"Association des bibliothécaires de France";978-2-7654-1578-7;9782765415787;2019;"Éditions du Cercle de la librairie";"1 volume (554 pages)";"Qu'est-ce qu'une bibliothèque aujourd'hui ? Que veut dire travailler en bibliothèque aujourd'hui ? Loin de réponses par trop définitives ou techniques, la 13e édition du Métier de Bibliothécaire entend donner des points d'appui aux futurs professionnels : de l'histoire des bibliothèques à l'impact du numérique sur les pratiques, des conceptions les plus récentes du métier aux compétences requises pour l'exercer, cet ouvrage est pensé comme un outil utile et complet pour préparer les concours et envisager un métier en constante évolution. Cette nouvelle édition aborde l'ensemble des missions et des cadres dans lesquels les professionnels inscrivent aujourd'hui leur action : l'environnement territorial, institutionnel ou législatif, les dispositifs de soutien, l'évolution des techniques d'accès à l'information, les nouvelles façons d'envisager la relation avec les publics ou la gestion des collections sont autant d'éléments à connaitre pour se préparer à l'exercice du métier. Près de quarante auteurs, professionnels aguerris ou jeunes entrants dans le métier, partagent ici leurs connaissances. Avec une diversité de styles et d'approches, ils et elles rendent compte de la mission de service public qu'exercent les bibliothèques aujourd'hui, dans des lieux multiples par leurs tailles et par les territoires dans lesquels leurs ambitions s'inscrivent. Portés par un souci constant des publics, et par l'exigence de proposer l'accès aux savoirs et à la connaissance par tous les moyens, ils proposent dans cet ouvrage une vision renouvelée et diversifiée du métier de bibliothécaire. L'ouvrage est complété par des annexes : textes de référence, biblio-sitographie (à retrouver sur le site de l'Association des bibliothécaires de France avec des liens qui seront régulièrement actualisés), liste de contacts utiles, index.";;"[{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""020 ASS""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""020.23 ASS""}]";0;11;"fonds pro";title
279688;LIVRE;"Mener une politique culturelle en direction des personnes en situation de handicap";;"Bastien Verdier,... Jean-François Ferraille,...";978-2-8186-1757-1;;2021;"Territorial éditions";"1 volume (120 pages)";"""Comment mener une action culturelle inclusive ? Pour répondre à cette question, les auteurs dressent un panorama des politiques destinées à favoriser l'accès à la culture des personnes en situation de handicap. L'ouvrage permet de comprendre les enjeux de ces politiques à travers une présentation des différentes formes de handicap, de l'évolution du cadre législatif et de l'organisation du secteur culture-handicap aux échelles nationale et locale. Destiné aux agents des collectivités locales, aux élus locaux ainsi qu'aux responsables de structures culturelles et associatives du secteur culture-handicap, il donne les clés permettant de se familiariser avec les problématiques d'accessibilité et propose des outils afin d'élaborer localement les réponses les plus pertinentes aux enjeux de l'inclusion. On trouvera pour cela un inventaire des principaux partenaires institutionnels et associatifs à mobiliser, une revue des bonnes pratiques par secteur culturel (patrimoine et musées, spectacle vivant, arts plastiques, lecture publique, cinéma, musique, jeux vidéo et usages numériques) et une présentation des aides techniques disponibles dans le cadre d'une politique d'accessibilité culturelle en direction des personnes en situation de handicap.""";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.5 VER""}]";0;11;"fonds pro";title
280762;LIVRE;"Exposer en bibliothèque";"enjeux, méthodes, diffusion";"sous la direction d'Emmanuèle Payen";978-2-37546-141-9;9782375461419;2022;"Presses de l'Enssib";"1 volume (216 p.)";"Immédiatement visible, bien identifiée, l'exposition est désormais une proposition culturelle largement présente dans nos établissements, plébiscitée par les publics, et attractive pour de nouveaux visiteurs. Au coeur de la « bibliothèque agissante », qui offre de nouveaux modes d'appréhension des savoirs et des connaissances, elle déploie un discours scientifique sur les oeuvres et les documents issus des collections et l'inscrit à l'intérieur et en regard des espaces de lecture. Les enjeux sont de taille : en matière d'identité de l'institution, de professionnalisation, de légitimité. Alors, quelle politique d'exposition peut-on conduire, dans une bibliothèque départementale, comme à l'université ou dans un centre de documentation et d'information ? Comment met-on en scène, et en récit, le patrimoine écrit, la richesse de la production éditoriale pour la jeunesse, ou la littérature et la bande dessinée ? Quel essor pour l'itinérance et le numérique ? Quelles sont les stratégies déployées, les compétences requises, les étapes clés, les acteurs indispensables aux projets ? Engagé·es dans ces missions d'action culturelle à travers différents champs professionnels (direction d'établissement ou de programmation et médiation culturelle, scénographie, documentation, enseignement, etc.), les auteur·es partagent la richesse de leurs expériences pour organiser le dialogue invisible des oeuvres, des objets et des contenus documentaires tout au long du parcours d'exposition. Ce livre permettra aux personnels de la documentation, des archives et des bibliothèques de maîtriser les grandes étapes de la conception et de la réalisation d'une exposition, et de penser ce média comme un outil institutionnel, en dialogue avec le territoire.";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""021.26 EXP""},{""library"": ""OCANI"", ""location"": ""SLO"", ""callnumber"": ""010240""}]";0;11;"fonds pro";title
280855;LIVRE;"De l'imprimé à Internet";;"Marie-France Lebert";2-7454-0192-0;;1999;00h00;"1 volume (300 pages)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.579 LEB""}]";0;11;"fonds pro";title
271461;LIVRE;"Gens de lettres, gens du livre";;"Robert Darnton";2-7381-0162-3;9782738101624;1992;"O. Jacob";"1 volume (302 pages)";;;"[{""library"": ""LASH"", ""location"": ""SL2"", ""callnumber"": ""840.904 DAR""},{""library"": ""LASH"", ""location"": ""MAG2"", ""callnumber"": ""ML 44931""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.509 DAR""}]";0;11;"fonds pro";title
271262;LIVRE;"Le livre";"la fin d'un règne";"Fabrice Piault";2-234-04475-8;9782234044753;1995;Stock;"1 vol. (263 p.)";;;"[{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""070.5 PIA""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.509 PIA""}]";0;11;"fonds pro";title
271123;LIVRE;"Ouvrages de référence pour les bibliothèques";"répertoire bibliographique";"sous la direction de Marcelle Beaudiquez et Annie Béthery";2-7654-0591-3;9782765405917;1995;"Éditions du Cercle de la librairie";"1 volume (478 pages)";;;"[{""library"": ""BIUTF"", ""location"": ""MAG"", ""callnumber"": ""020 OUV""},{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""010 OUV""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.2 BEA""}]";0;11;"fonds pro";title
262153;LIVRE;"Dictionnaire des médias";;"sous la direction de Francis Balle";2-03-720327-6;9782037203272;1998;"Larousse | Impr. Aubin";"1 volume (281 pages)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070 BAL""},{""library"": ""MEDP"", ""location"": ""BUR"", ""callnumber"": ""P 90 BAL""}]";0;11;"fonds pro";title
262843;LIVRE;"Littérature contemporaine en bibliothèque";;"sous la direction de Martine Poulain";2-7654-0798-3;9782765407980;2001;"Éd. du cercle de la librairie";"1 volume (174 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.2 POU""},{""library"": ""LASH"", ""location"": ""MAG2"", ""callnumber"": ""ML 28632""}]";0;11;"fonds pro";title
263227;LIVRE;"Traité pratique d'édition";;"Philippe Schuwer";2-7654-0825-4;9782765406556;2002;"Éditions du Cercle de la librairie";"1 volume (655 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.5 SCH""},{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""070.5 SCH""}]";0;11;"fonds pro";title
263646;LIVRE;"Les bibliothèques dans la chaîne du livre";;"sous la direction d'Emmanuèle Payen";"2-7654-0888-2 | 978-2-7654-0888-8";9782765408888;2004;"Éditions du Cercle de la Librairie";"1 volume (246 pages)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.5 PAY""},{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""021 PAY""},{""library"": ""MEDP"", ""location"": ""BUR"", ""callnumber"": ""Z 665 BIB""}]";0;11;"fonds pro";title
263711;LIVRE;"Du catalogue de la bibliothèque aux ressources du Web";"applications documentaires de la génération de liens contextuels";"étude rédigée par Marc Maisonneuve";2-84365-065-8;9782843650659;2003;ADBS;"1 volume (148 pages)";"Analyse de huit logiciels : les fiches descriptives sont précédées d'un exposé de la problématique de la génération de liens contextuels, d'une présentation du domaine d'emploi de cette technique et des concepts informatiques qui en sont la base. Des tableaux situent l'offre des différents fournisseurs et les annexes proposent une liste des sigles et un commentaire du questionnaire soumis aux fournisseurs rencontrés en février 2003";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 TOS""}]";0;11;"fonds pro";title
263771;LIVRE;"Devenir bibliothécaire-formateur";"organiser, animer, évaluer";"Françoise Hecquard, Marielle de Miribel";"2-7654-0873-4 | 978-2-7654-0873-4";9782765408734;2003;"Éditions du Cercle de la librairie";"1 volume (380 pages)";;;"[{""library"": ""SJA"", ""location"": ""BUR"", ""callnumber"": ""Z 682 .25 HEC""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.56 HEC""},{""library"": ""LASH"", ""location"": ""BUR"", ""callnumber"": ""Z 682 .25 HEC""}]";0;11;"fonds pro";title
263826;LIVRE;"La notion de ressources à l'heure du numérique";"Rencontres en didactique des langues, [Lyon, 19 juin 2003]";"[organisées par l'équipe Plurilinguisme et multimédias]";2-84788-049-6;9782847880496;2004;"ENS Éditions";"1 vol. (152 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.56 DEV""}]";0;11;"fonds pro";title
265011;LIVRE;"L'amour des bibliothèques";;"Jean M. [Jean Marie] Goulemot";"978-2-02-081683-0 | 2-02-081683-0";9782020816830;2006;"Éditions du Seuil";"1 volume (292 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""020 GOU""}]";0;11;"fonds pro";title
265201;LIVRE;"Amendement 1 : Indicateurs complémentaires de performance des bibliothèques";"information et documentation | norme ISO 11620/A1";AFNOR;;;2003;AFNOR;"1 fasc. (14 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.1 ASS""}]";0;11;"fonds pro";title
266091;LIVRE;"Histoire des bibliothèques françaises";;"sous la direction de Martine Poulain,...";2-7654-0510-7;9782765405108;1992;"Promodis | Éditions du Cercle de la librairie";"1 volume (XXII-793 pages)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""020 HIS""},{""library"": ""MEDP"", ""location"": ""BUR"", ""callnumber"": ""Z 797.A1 HIS""}]";0;11;"fonds pro";title
267460;LIVRE;L'écriture;"mémoire des hommes";"Georges Jean";2-07-053040-X;9782070530403;1987;Gallimard;"1 vol. (224 p.)";"Histoire de l'écriture, des tablettes d'argile aux pictogrammes modernes. Techniques, recherches et compréhension des écritures anciennes";;"[{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""411.7 JEA""},{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""070.5 JEA""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.509 JEA""},{""library"": ""DRAGUIGNAN"", ""location"": ""PEDAGOGIE"", ""callnumber"": ""745.6 JEA""},{""library"": ""GEORGEV"", ""location"": ""SL"", ""callnumber"": ""002 JEA""},{""library"": ""VA"", ""location"": ""MAG"", ""callnumber"": ""655.2 JEA E""},{""library"": ""MEDP"", ""location"": ""BUR"", ""callnumber"": ""Z 40 JEA""}]";0;11;"fonds pro";title
269654;LIVRE;"Mener un projet Open Source en bibliothèque, documentation et archives";;"Claire Scopsi, Laurent Soual, Jean-François Ferraille... [et al.]";978-2-7654-0954-0;9782765409540;2007;"Cercle de la librairie";"1 vol. (155 p.)";;;"[{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""025.04 SCO""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 SCO""}]";0;11;"fonds pro";title
270732;LIVRE;"Traitements et pratiques documentaires";"vers un changement de paradigme ? | actes de la deuxième conférence Document numérique et société, Paris, CNAM, 17-18 novembre 2008";"sous la direction d'Évelyne Broudoux et Ghislaine Chartron";978-2-84365-116-8;9782843651168;2008;"ADBS éditions";"1 vol. (452 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 TRA""}]";0;11;"fonds pro";title
260399;LIVRE;"Histoire du livre";;"Frédéric Barbier";2-200-25225-0;9782200252250;2000;"Armand Colin";"1 volume (304 pages)";;;"[{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""070.5 BAR""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""070.509 BAR""}]";0;11;"fonds pro";title
280937;LIVRE;"Les bibliothèques dans les mutations territoriales";"entre évolutions et inventions";"sous la direction de David-Georges Picard";978-2-7654-1620-3;9782765416203;2019;"Éditions du Cercle de la librairie";"1 vol. (190 p.)";"Au cours des trois dernières décennies, l'organisation administrative française a été le theâtre de profondes évolutions. La législation et la réglementation se sont étoffées de textes réformant le traditionnel jacobinisme français. Des successives répartitions de compétences aux multiples reconfigurations des territoires, des nouveaux équilibres entre l'Etat et les collectivités territoriales aux dessertes des usagers modifiées, les mutations des services publics demandent une adaptation - parfois douloureuse - des offres de services autant que des pratiques professionnelles. S'adaptant aux transferts de compétence, aux mouvements d'intercommunalisation, aux nouveaux découpages territoriaux, la lecture publique ainsi que les bibliothèques universitaires et nationales se sont : efforcées de proposer des formules originales de coopération. A l'articulation de politiques culturelles,sociales, éducatives, urbaines et rurales, le développement de la lecture publique requiert des organisations intégrées, attentives au fin maillage des territoires et des partenariats fructueux. Ce livre invite à mieux comprendre l'actualité de quelques-uns de ces modèles et de ces projets qui influent par ailleurs sur la conception des politiques nationales.";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""027.4 BIB""}]";0;11;"fonds pro";title
281187;LIVRE;"Guide de l'innovation 2021";bibliothèques;;978-2-36263-115-3;9782362631153;2021;"lH, Livres Hebdo";"1 vol. (58 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.5 GUI""}]";0;11;"fonds pro";title
292447;LIVRE;"Introduction aux sciences de l'information";;"sous la direction de Jean-Michel Salaün et de Clément Arsenault";978-2-7606-2114-5;9782760621145;2009;"Presses de l'Université de Montréal";"1 vol. (235 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.04 INT""}]";0;11;"fonds pro";title
293916;LIVRE;"Histoire des bibliothèques françaises";;"sous la direction de Dominique Varry,...";2-7654-0472-0;9782765404729;1991;"Promodis | Éditions du Cercle de la librairie";"1 volume (XII-671 pages)";;;"[{""library"": ""MEDP"", ""location"": ""BUR"", ""callnumber"": ""Z 797.A1 HIS""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""020 HIS""}]";0;11;"fonds pro";title
296593;LIVRE;"Bibliothèques et politiques documentaires à l'heure d'Internet";;"Bertrand Calenge";978-2-7654-0962-5;9782765409625;2008;"Éditions du Cercle de la librairie";"1 volume (264 pages)";"Dans les bibliothèques comme ailleurs, les flux électroniques génèrent une réalité économique nouvelle et de nouveaux usages. Collections, contenus, espaces et paramètres documentaires, modalités d'accès, etc. sont remis en question. L'auteur tente de tracer une généalogie des nouvelles pratiques professionnelles et d'esquisser la problématique contemporaine des politiques documentaires.";;"[{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""025 CAL""},{""library"": ""MEDP"", ""location"": ""BUR"", ""callnumber"": ""Z 689 CAL""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.2 CAL""}]";0;11;"fonds pro";title
297768;LIVRE;"La conservation";"principes et réalités";"sous la direction de Jean-Paul Oddos";2-7654-0592-1;9782765405924;1995;"Éditions du Cercle de la librairie";"1 volume (405 pages)";"Ces dernières années, notre pays a connu un important développement des bibliothèques, un élargissement de leur public en même temps qu'une sensible augmentation de l'usage de leurs collections. Les bibliothécaires qui ont largement contribué à cette évolution positive se trouvent aujourd'hui fort démunis face à la dégradation de leurs collections, que celles-ci soient d'usage courant, de référence ou patrimoniale.Comment préserver les collections de livres, de périodiques, de disques ou d'estampes, comment admettre un usage intensif de certains documents, faciliter l'accès et la communication d'autres, comment protéger les plus fragiles ou les plus précieux, les garder pour des usagers futurs, comment assurer une gestion économique de collections coûteuses, rapidement irremplaçables. Ce sont là quelques-unes des questions auxquelles cet ouvrage apporte des réponses adaptées. Ce livre ne décrit pas des «recettes» applicables en toute situation, mais propose des méthodes, basées sur les analyses, les expériences et les recherches menées récemment dans divers pays, notamment en France autour de la Bibliothèque nationale de France.";;"[{""library"": ""MEDP"", ""location"": ""BUR"", ""callnumber"": ""Z 688 CON""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.8 CON""},{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""025.2 CON""}]";0;11;"fonds pro";title
299130;LIVRE;"Les bibliothèques";;"Anne-Marie Bertrand";978-2-7071-6987-7;9782707169877;2011;"la Découverte";"1 volume (126 pages)";"Les bibliothèques sont de plus en plus présentes et visibles dans le paysage culturel et politique, que ce soit par leur actualité (le renouveau des bibliothèques universitaires), par leur succès public (7 millions de personnes inscrites dans les bibliothèques municipales) ou par leur place dans la révolution numérique. Il convient de souligner ce mouvement d’expansion et de modernisation des bibliothèques, mais aussi de signaler leur fragilité et leurs enjeux. Cette étude replace les bibliothèques dans une perspective historique, puis évoque les différents types de structures, leurs rôles et leurs publics. Enfin elle analyse leur évolution et leur avenir face au défi numérique. [Résumé d'après la 4e de couv.]";;"[{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""027 BER""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""027 BER""}]";0;11;"fonds pro";title
299322;LIVRE;"Qu'est-ce que rechercher de l'information ?";"état de l'art";"Nicole Boubée et André Tricot";978-2-910227-83-8;9782910227838;2010;"Presses de l'Enssib";"1 volume (286 pages)";;;"[{""library"": ""LASH"", ""location"": ""SL1"", ""callnumber"": ""025.524 BOU""},{""library"": ""DRAGUIGNAN"", ""location"": ""PEDAGOGIE"", ""callnumber"": ""025.07 BOU""},{""library"": ""GEORGEV"", ""location"": ""SL"", ""callnumber"": ""025.04 BOU""},{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.524 BOU""},{""library"": ""LIEGEARD"", ""location"": ""SL"", ""callnumber"": ""025.04 BOU""}]";0;11;"fonds pro";title
304271;LIVRE;"Vos recherches avec Google";;"Bruno Bernard Simon";979-10-92272-01-7;9791092272017;2014;"Éditions KLOG";"1 vol. (160 p.)";;;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.524 SIM""}]";0;11;"fonds pro";title
306582;LIVRE;"Décoder les fausses nouvelles et construire son information avec la bibliothèque";;"[sous la direction de Salomé Kintz]";978-2-37546-120-4;9782375461204;2020;"Presses de l'Enssib";"1 volume (243 p.)";"""« Chasseur de fake », débats, Ateliers infox, Fabrique de l'Info, apprentissage des compétences informationnelles, autant d'actions pilotées par les bibliothèques, universitaires comme de lecture publique. Plus visibles depuis l'attentat contre Charlie Hebdo, et reconnues partenaires de l'éducation aux médias et à l'information (plan 2018), les bibliothèques sont ces « lieux de confiance » dans lesquels des professionnels de l'information, compétents et formés, proposent à tous les publics, dans une visée émancipatrice, les clés d'une maîtrise de l'information. Comment analyser les conditions d'émergence de la désinformation en ligne, comprendre les mécanismes de l'infox ? Comment éduquer aux médias à la bibliothèque ? Que proposer aux publics scolaires et adultes ? Quelle est la place de la bibliothèque dans la formation aux usagers ? Quels services mettre en place ? Les réponses proposées s'organisent autour de trois orientations méthodologiques : un retour sur l'analyse du phénomène, le contexte favorable à saisir pour la communauté professionnelle, des présentations réflexives de pratiques de terrain. Un accent fort a été mis sur les partenariats et la mutualisation des compétences entre journalistes, enseignants, documentalistes et bibliothécaires""";;"[{""library"": ""SCIEN"", ""location"": ""DOC"", ""callnumber"": ""025.56 DEC""}]";0;11;"fonds pro";title
